Название товара,Описание,Характеристики,Цена без скидки,Цена со скидкой,Рейтинг,Отзывы,Заказы,Магазин,Ссылка на магазин,Ссылка на товар
Полуботинки детские для девочек,,Ширина упаковки: 19.7 см; Высота упаковки: 10.5 см; Длина упаковки: 28 см; Вид застежки: липучка; Материал подкладки обуви: хлопок; Полнота обуви (EUR): F (6); Страна производства: Китай; Материал подошвы обуви: ЭВА (этиленвинилацетат); Материал стельки: хлопок; ТНВЭД: 6403993300,2068.0р,951.0р,4,5,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/17986829/detail.aspx
Полуботинки мужские для активного отдыха,,Ширина упаковки: 20.7 см; Высота каблука: 4.5 см; Высота подошвы: 2 см; Высота упаковки: 12.3 см; Длина упаковки: 33.8 см; ТНВЭД: 6403993300; Материал стельки: текстиль; Страна производства: Китай; Вид застежки: шнуровка; Материал подошвы обуви: ЭВА (этиленвинилацетат); Материал подкладки обуви: текстиль; Полнота обуви (EUR): G (7),2444.0р,1295.0р,4,17,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/18789355/detail.aspx
Полуботинки женские,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.8 см; Высота упаковки: 11.3 см; Длина упаковки: 30.5 см; Вид застежки: шнуровка; Материал стельки: текстиль; Страна производства: Китай; ТНВЭД: 6403993300; Материал подкладки обуви: текстиль; Материал подошвы обуви: ТПР; филон; Полнота обуви (EUR): G (7),1999.0р,1039.0р,4,11,Более 60,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/17539120/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 21 см; Высота каблука: 5.3 см; Высота подошвы: 2 см; Высота упаковки: 12 см; Длина упаковки: 33 см; Материал подошвы обуви: ЭВА (этиленвинилацетат); ТПР; Вид застежки: шнуровка; Полнота обуви (EUR): G (7); ТНВЭД: 6403993300; Страна производства: Китай; Материал подкладки обуви: синтетическая ткань; Материал стельки: текстиль,2593.0р,1400.0р,5,73,Более 300,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/34783434/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.8 см; Высота каблука: 5.3 см; Высота подошвы: 2.3 см; Высота упаковки: 11.3 см; Длина упаковки: 30.5 см; Страна производства: Китай; ТНВЭД: 6403993300; Материал подошвы обуви: резина; ЭВА (этиленвинилацетат); Материал подкладки обуви: синтетическая ткань; Материал стельки: текстиль; Полнота обуви (EUR): G (7),2608.0р,2399.0р,5,15,Более 90,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/36373750/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.9 см; Высота каблука: 3.5 см; Высота подошвы: 1.8 см; Высота упаковки: 19.9 см; Длина упаковки: 30 см; Страна производства: Китай; ТНВЭД: 6403993300; Вид застежки: шнуровка; Материал подошвы обуви: ТПР; ЭВА; Материал подкладки обуви: ткань; Материал стельки: ткань; Полнота обуви (EUR): G (7),4080.0р,1999.0р,5,6,Более 20,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/110729337/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас:1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения.2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства.3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку.С уважением, Ваш kari.",Ширина упаковки: 21.1 см; Высота каблука: 4 см; Высота подошвы: 2.5 см; Высота упаковки: 21.1 см; Длина упаковки: 30 см; Вид застежки: шнуровка; Материал стельки: ткань; Полнота обуви (EUR): G (7); Страна производства: Китай; ТНВЭД: 6403993300; Материал подкладки обуви: ткань; Материал подошвы обуви: ЭВА,3589.0р,1543.0р,5,2,Более 10,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/110729159/detail.aspx
Полуботинки женские,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.8 см; Высота каблука: 3 см; Высота подошвы: 1.7 см; Высота упаковки: 11.3 см; Длина упаковки: 30.5 см; Страна производства: Китай; ТНВЭД: 6403993300; Материал стельки: текстиль; Полнота обуви (EUR): G (7); Вид застежки: шнуровка; Материал подкладки обуви: текстиль; Материал подошвы обуви: филон,1763.0р,987.0р,5,24,Более 200,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/21258909/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.7 см; Высота каблука: 4 см; Высота подошвы: 1.4 см; Высота упаковки: 10.5 см; Длина упаковки: 28 см; Материал подкладки обуви: хлопок; Материал стельки: хлопок; Страна производства: Китай; Материал подошвы обуви: ТПР; ЭВА; Полнота обуви (EUR): F (6); ТНВЭД: 6403993300; Вид застежки: липучка,2777.0р,1999.0р,5,6,Более 70,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59725319/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.9 см; Высота подошвы: 1 см; Высота упаковки: 19.9 см; Длина упаковки: 19.9 см; Материал подкладки обуви: текстиль; Стилистика: повседневная; ТНВЭД: 6403993300; Вид застежки: шнуровка; Материал подошвы обуви: филон; Полнота обуви (EUR): G (7); Страна производства: Китай; Материал стельки: текстиль; Вид каблука: без каблука,3546.0р,1808.0р,5,204,Более 2600,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/9814401/detail.aspx
Ролики,"Максимальный вес : размер 27-30 до 30 кг, размер 31-34 до 60 кг.",Вес с упаковкой (кг): 2 кг; Вес без упаковки (кг): 1.7 кг; Ширина упаковки: 11 см; Высота упаковки: 37 см; Длина упаковки: 34 см; Страна производства: Китай; Материал рамы/основания: пластик; Класс подшипников: ABEC-5,3330.0р,1232.0р,4,61,Более 200,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/64040506/detail.aspx
Полуботинки женские,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 12 см; Высота упаковки: 25 см; Длина упаковки: 30 см; Вид застежки: шнуровка; Материал подошвы обуви: филон; Материал стельки: текстиль; Полнота обуви (EUR): G (7); Страна производства: Китай; ТНВЭД: 6403993300,2444.0р,2199.0р,5,17,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/17060665/detail.aspx
Слипоны мужские,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 22 см; Высота упаковки: 12 см; Длина упаковки: 35 см; Материал подкладки обуви: текстиль; Материал подошвы обуви: филон; Материал стельки: текстиль; Полнота обуви (EUR): G (7); Страна производства: Китай; ТНВЭД: 6403993800,3029.0р,1999.0р,5,439,Более 1200,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/17986846/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.7 см; Высота каблука: 4 см; Высота подошвы: 3 см; Высота упаковки: 10.5 см; Длина упаковки: 28 см; ТНВЭД: 6403993300; Материал подкладки обуви: хлопок; Материал подошвы обуви: ЭВА; Полнота обуви (EUR): F (6); Страна производства: Китай; Материал стельки: хлопок,2190.0р,1248.0р,5,3,Более 30,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59725305/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.8 см; Высота каблука: 3 см; Высота подошвы: 1.8 см; Высота упаковки: 11.3 см; Длина упаковки: 30.5 см; Материал подошвы обуви: ТПР; Материал стельки: текстиль; Полнота обуви (EUR): G (7); Вид застежки: шнуровка; ТНВЭД: 6403993300; Страна производства: Китай,3068.0р,1871.0р,5,25,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/13303676/detail.aspx
Полуботинки мужские для активного отдыха,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 20.7 см; Высота упаковки: 12.3 см; Длина упаковки: 33.8 см; ТНВЭД: 6403993300; Материал подкладки обуви: текстиль; Материал подошвы обуви: ЭВА (этиленвинилацетат); Полнота обуви (EUR): G (7); Страна производства: Китай; Вид застежки: шнуровка; Материал стельки: текстиль,1999.0р,1239.0р,4,50,Более 200,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/17743412/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.8 см; Высота каблука: 5.5 см; Высота подошвы: 2.5 см; Высота упаковки: 11.3 см; Длина упаковки: 30.5 см; Вид застежки: шнуровка; Материал стельки: текстиль; Полнота обуви (EUR): G (7); Страна производства: Китай; ТНВЭД: 6403993300; Материал подкладки обуви: текстиль; Материал подошвы обуви: филон,2086.0р,1189.0р,5,10,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/13303682/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.8 см; Высота упаковки: 11.3 см; Длина упаковки: 30.5 см; Материал подошвы обуви: ТПР; ЭВА; Материал стельки: ткань; Страна производства: Китай; ТНВЭД: 6403993300; Материал подкладки обуви: ткань; Полнота обуви (EUR): G (7),2998.0р,1499.0р,4,7,Более 40,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/58609621/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас:1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения.2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства.3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку.С уважением, Ваш kari.",Ширина упаковки: 21.1 см; Высота каблука: 4.6 см; Высота подошвы: 2 см; Высота упаковки: 21.1 см; Длина упаковки: 30 см; Страна производства: Китай; Полнота обуви (EUR): G (7); Вид застежки: шнуровка; Материал подкладки обуви: ткань; Материал подошвы обуви: ЭВА; Материал стельки: ткань; ТНВЭД: 6403993300,3259.0р,1499.0р,5,6,Более 40,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/110729318/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.8 см; Высота каблука: 5 см; Высота подошвы: 2.8 см; Высота упаковки: 11.3 см; Длина упаковки: 30.5 см; Материал подкладки обуви: синтетическая ткань; Страна производства: Китай; Материал подошвы обуви: ЭВА (этиленвинилацетат); Материал стельки: текстиль; ТНВЭД: 6403993300; Вид застежки: шнуровка; Полнота обуви (EUR): G (7),2777.0р,1444.0р,4,4,Более 40,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/53595850/detail.aspx
Полуботинки,,Ширина упаковки: 40 см; Высота упаковки: 35 см; Длина упаковки: 50 см; Материал подкладки обуви: синтетическая ткань; Материал подошвы обуви: резина; ЭВА (этиленвинилацетат); Материал стельки: текстиль; Полнота обуви (EUR): G (7); Страна производства: Китай; ТНВЭД: 6403993300,2478.0р,1313.0р,4,12,Более 80,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/34285194/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.8 см; Высота каблука: 4.5 см; Высота подошвы: 2.5 см; Высота упаковки: 11.3 см; Длина упаковки: 30.5 см; Материал подошвы обуви: ЭВА (этиленвинилацетат); ТНВЭД: 6403993300; Материал подкладки обуви: синтетическая ткань; Материал стельки: текстиль; Полнота обуви (EUR): G (7); Страна производства: Китай,2068.0р,1799.0р,5,8,Более 80,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/36373740/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 12 см; Высота упаковки: 12 см; Длина упаковки: 30 см; Материал подкладки обуви: хлопок; Материал подошвы обуви: ЭВА; Материал стельки: хлопок; Полнота обуви (EUR): F (6); Страна производства: Китай; ТНВЭД: 6403993300,2984.0р,925.0р,0,0,Более 1,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/84347396/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 20.7 см; Высота каблука: 5 см; Высота подошвы: 1.5 см; Высота упаковки: 12.3 см; Длина упаковки: 33.8 см; Материал стельки: ткань; ТНВЭД: 6403993300; Материал подошвы обуви: ЭВА; Полнота обуви (EUR): G (7); Вид застежки: шнуровка; Материал подкладки обуви: ткань; Страна производства: Китай,2880.0р,1699.0р,5,15,Более 80,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59848843/detail.aspx
Полуботинки,,Ширина упаковки: 19.8 см; Высота каблука: 5.6 см; Высота подошвы: 2.5 см; Высота упаковки: 11.3 см; Длина упаковки: 30.5 см; Материал подкладки обуви: синтетическая ткань; Материал подошвы обуви: ЭВА (этиленвинилацетат); ТНВЭД: 6403993300; Вид застежки: шнуровка; Материал стельки: текстиль; Полнота обуви (EUR): G (7); Страна производства: Китай,2702.0р,1486.0р,4,12,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/34759749/detail.aspx
Полуботинки женские,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 22 см; Высота каблука: 4 см; Высота подошвы: 1.8 см; Высота упаковки: 11 см; Длина упаковки: 33 см; Материал стельки: текстиль; Полнота обуви (EUR): G (7); Материал подкладки обуви: текстиль; Материал подошвы обуви: филон; Страна производства: Китай; ТНВЭД: 6403993300; Вид застежки: без застежки,2253.0р,1194.0р,4,296,Более 600,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/21258921/detail.aspx
